Date,Close,High,Low,Open,Volume,Daily Return,MA_30,MA_100,Volatility_30
2020-01-02,28.68400001525879,28.71333312988281,28.11400032043457,28.299999237060547,142981500,,,,
2020-01-03,29.53400039672852,30.26666641235352,29.12800025939941,29.36666679382324,266677500,0.02963325829792085,,,
2020-01-06,30.1026668548584,30.10400009155273,29.333332061767575,29.36466789245605,151995000,0.01925463704513497,,,
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.76000022888184,268231500,0.03880052465815398,,,
2020-01-08,32.80933380126953,33.232666015625,31.215333938598636,31.57999992370605,467164500,0.04920482578812169,,,
2020-01-09,32.089332580566406,33.25333404541016,31.524667739868164,33.13999938964844,426606000,-0.021945011900097344,,,
2020-01-10,31.87666702270508,32.3293342590332,31.57999992370605,32.11933135986328,194392500,-0.006627297633174156,,,
2020-01-13,34.990665435791016,35.04199981689453,32.79999923706055,32.900001525878906,397764000,0.0976889588509331,,,
2020-01-14,35.861331939697266,36.49399948120117,34.99333190917969,36.28400039672852,434943000,0.024882822120200876,,,
2020-01-15,34.56666564941406,35.85599899291992,34.452667236328125,35.31733322143555,260532000,-0.03610201351305786,,,
2020-01-16,34.232666015625,34.297332763671875,32.81133270263672,32.91666793823242,326050500,-0.009662477636014799,,,
2020-01-17,34.03333282470703,34.37799835205078,33.54399871826172,33.840667724609375,204436500,-0.005822894156913949,,,
2020-01-21,36.47999954223633,36.571998596191406,35.227333068847656,35.349998474121094,267052500,0.07189030619278935,,,
2020-01-22,37.97066879272461,39.633331298828125,37.27333450317383,38.1259994506836,470535000,0.04086264444061727,,,
2020-01-23,38.14666748046875,38.79999923706055,37.040000915527344,37.61666870117188,294765000,0.004635122144013071,,,
2020-01-24,37.654666900634766,38.25733184814453,36.95066833496094,38.04199981689453,215304000,-0.012897603180825445,,,
2020-01-27,37.20133209228516,37.62933349609375,35.95199966430664,36.13266754150391,204121500,-0.012039272835579373,,,
2020-01-28,37.79333114624024,38.45399856567383,37.2053337097168,37.89933395385742,176827500,0.015913383222044608,,,
